	stripped_vocab
0	═
1	…
2	°
3	č
4	]
5	}
6	ț
7	–
8	̍
9	<
10	[
11	ǐ
12	|
13	\
14	ř
15	į
16	³
17	#
18	
19	>
20	=
21	̀
22	̇
23	€
24	%
25	•
26	&
27	α
28	ἰ
29	θ
30	π
31	ί
32	ᾳ
33	δ
34	έ
35	σ
36	ι
37	ĺ
38	ī
39	ē
40	ū
41	å
42	̟
43	þ
44	ł
45	ė
46	ʼ
47	ø
48	ą
49	ů
50	ĭ
51	ả
52	ÿ
53	š
54	ṛ
55	ę
56	·
57	ǎ
58	、
59	ª
60	ľ
61	ȧ
62	õ
63	ṁ
64	ẹ
65	£
66	‐
67	^
68	ọ
69	ı
70	_
71	ſ
72	г
73	ă
74	ş
75	ṣ
76	ŕ
77	τ
78	ὸ
79	ό
80	ρ
81	ξ
82	λ
83	ã
84	‛
85	ţ
86	ἐ
87	κ
88	υ
89	γ
90	ὰ
91	χ
92	ῳ
93	β
94	ἀ
95	ε
96	ά
97	ἴ
98	ω
99	ῖ
100	ὶ
101	μ
102	φ
103	ύ
104	ς
105	ῶ
106	ῦ
107	ὲ
108	ὄ
109	‭
110	‬
111	ὴ
112	ἄ
113	η
114	ῥ
115	ἠ
116	´
117	ἁ
118	ῃ
119	ἵ
120	ơ
121	{
122	○
123	ὦ
124	ᾶ
125	ζ
126	ή
127	ἱ
128	ῆ
129	р
130	ἔ
131	ὠ
132	ὺ
133	ὐ
134	ϊ
